Serial Number,Asset Tag,Is-Active
D25X30WYJ1GN,Z00006856,TRUE
D25LJ0DVF8J9,Z00001842,TRUE
D25MT0AFF8JC,Z00000898,TRUE
F5KMR1MNF694,Z00000897,TRUE
W891318B71C,Z00003399,TRUE
D25XH089J1GQ,Z00008114,TRUE
D25QF20WFY14,Z00006240,TRUE
D25QF1YTFY14,Z00009180,TRUE
C02Y30DHJG5H,Z00007977,TRUE
C02X2UP8JG5H,Z00007976,TRUE
C02WX7HAJG5H,Z00007975,TRUE
C02WX7RXJG5H,Z00007974,TRUE
C02Y30FCJG5H,Z00007973,TRUE
D25Y4064J1GN,Z00007972,TRUE
